person_name,score
"Henry E. Brown, Jr.",0.2695020431301259
Lamar Smith,0.26140715748770166
John D. Rockefeller IV,0.2537287972372724
John L. Mica,0.24777206631842993
Paul D. Wellstone,0.2398480051168008
Ben Nighthorse Campbell,0.23968460967880675
Tim Murphy,0.238283994894573
Al  Franken,0.2375527504016645
Hillary Rodham Clinton,0.2353801657212898
Thomas W. Ewing,0.23145833164453508
Herb Kohl,0.2256750368280337
Rand  Paul,0.22219336836133152
Nick J. Rahall II,0.2172507317765849
John Warner,0.21679173248703593
Barbara A. Mikulski,0.2151031155168312
John B. Larson,0.21351872250088497
Darrell E. Issa,0.20666666962206365
Mark Udall,0.20493770631292138
Richard  Blumenthal,0.19897407765092792
Rob Portman,0.19897407765092792
Bill Nelson,0.19897407765092792
Christopher S. Bond,0.19428926831460563
Louie Gohmert,0.19250000063329936
Brian Higgins,0.19250000063329936
Judy Chu,0.18910154092300221
Jon S. Corzine,0.18895695482206068
Steven R. Rothman,0.18895695482206068
Glenn C. Nye,0.18453125189989808
Wayne Allard,0.18187500126659872
Joseph M. Hoeffel,0.18187500126659872
Greg Walden,0.18187500126659872
Blanche L. Lincoln,0.18083474978921002
Joseph R. Biden Jr.,0.18060691627833877
Michael Bilirakis,0.17678361756916272
Ralph M. Hall,0.17446144155219373
Rob Simmons,0.1732382028720167
Bob Filner,0.17054166765883566
Trent Lott,0.16593750063329937
Vern Buchanan,0.16593750063329937
Lindsey Graham,0.16416666740551594
Rodney Alexander,0.16416666740551594
Joe Donnelly,0.1627499997150153
Floyd Spence,0.16062500015832487
Duncan Hunter,0.16062500015832487
Thomas S.P. Perriello,0.16062500015832487
Ron Paul,0.1582952286015825
Neil Abercrombie,0.15817264625620753
Mary Bono Mack,0.15708333370275798
Timothy V. Johnson,0.15531250007916245
Doris O. Matsui,0.15398437515832486
Luis G. Fortuno,0.1537500001722947
David Schweikert,0.15000000000000002
Joe Wilson,0.15000000000000002
Gary L. Ackerman,0.15000000000000002
Joseph Crowley,0.15000000000000002
Norman D. Dicks,0.15000000000000002
Ruben Hinojosa,0.15000000000000002
Jim Matheson,0.15000000000000002
Dennis A. Cardoza,0.15000000000000002
Dan Burton,0.15000000000000002
Mark Kirk,0.15000000000000002
Bob Etheridge,0.15000000000000002
Danny K. Davis,0.15000000000000002
Elijah E. Cummings,0.15000000000000002
Christopher Murphy,0.15000000000000002
Paul W. Hodes,0.15000000000000002
James R. Langevin,0.15000000000000002
Betty Sutton,0.15000000000000002
Luis V. Gutierrez,0.15000000000000002
John Shimkus,0.15000000000000002
John Linder,0.15000000000000002
Sander M. Levin,0.15000000000000002
Jerry McNerney,0.15000000000000002
Ed Pastor,0.15000000000000002
Steve Israel,0.15000000000000002
Timothy J. Walz,0.15000000000000002
Maurice D. Hinchey,0.15000000000000002
Michael E. Capuano,0.15000000000000002
Chris Van Hollen,0.15000000000000002
Stephen F. Lynch,0.15000000000000002
Robert Wexler,0.15000000000000002
Loretta Sanchez,0.15000000000000002
Ron Klein,0.15000000000000002
John Abney Culberson,0.15000000000000002
Saxby Chambliss,0.15000000000000002
Paul E. Gillmor,0.15000000000000002
Roscoe G. Bartlett,0.15000000000000002
Pete Sessions,0.15000000000000002
Gene Taylor,0.15000000000000002
Wayne T. Gilchrest,0.15000000000000002
John N. Hostettler,0.15000000000000002
John E. Peterson,0.15000000000000002
Johnny Isakson,0.15000000000000002
Joe Skeen,0.15000000000000002
Jim Ryun,0.15000000000000002
Lincoln Diaz-Balart,0.15000000000000002
Terry Everett,0.15000000000000002
Cass Ballenger,0.15000000000000002
Eni F. H. Faleomavaega,0.15000000000000002
Phil English,0.15000000000000002
Steve Chabot,0.15000000000000002
John B. Shadegg,0.15000000000000002
Melissa A. Hart,0.15000000000000002
Gil Gutknecht,0.15000000000000002
Thomas G. Tancredo,0.15000000000000002
Joseph R. Pitts,0.15000000000000002
W. Todd Akin,0.15000000000000002
Van Hilleary,0.15000000000000002
Jim DeMint,0.15000000000000002
Thomas A. Daschle,0.15000000000000002
Max Cleland,0.15000000000000002
Rick Santorum,0.15000000000000002
Robert G. Torricelli,0.15000000000000002
John Ensign,0.15000000000000002
George Allen,0.15000000000000002
Larry E. Craig,0.15000000000000002
Richard C. Shelby,0.15000000000000002
Bob Smith,0.15000000000000002
Brad Sherman,0.15000000000000002
Allyson Y. Schwartz,0.15000000000000002
Nick Lampson,0.15000000000000002
Frank A. LoBiondo,0.15000000000000002
Joyce Beatty,0.15000000000000002
Robert E. Andrews,0.15000000000000002
John D. Dingell,0.15000000000000002
Charles W. Norwood,0.15000000000000002
Marge Roukema,0.15000000000000002
David E. Bonior,0.15000000000000002
Ted Strickland,0.15000000000000002
Harold E. Ford,0.15000000000000002
John E. Sweeney,0.15000000000000002
Major R. Owens,0.15000000000000002
Jim Ramstad,0.15000000000000002
James C. Greenwood,0.15000000000000002
Stephen Horn,0.15000000000000002
Jo Ann Emerson,0.15000000000000002
Zell Miller,0.15000000000000002
Daniel Lipinski,0.15000000000000002
Cory Gardner,0.15000000000000002
Walter B. Jones,0.15000000000000002
Jim Davis,0.15000000000000002
Virgil H. Goode Jr.,0.15000000000000002
Mark Green,0.15000000000000002
Karen L. Thurman,0.15000000000000002
Cliff Stearns,0.15000000000000002
Corrine Brown,0.15000000000000002
Mark Foley,0.15000000000000002
Ric Keller,0.15000000000000002
Silvestre Reyes,0.15000000000000002
John E. Sununu,0.15000000000000002
Claire McCaskill,0.15000000000000002
Roger F. Wicker,0.15000000000000002
Maria Cantwell,0.15000000000000002
Pat Roberts,0.15000000000000002
Ken Salazar,0.15000000000000002
Mike Crapo,0.15000000000000002
Tim Johnson,0.15000000000000002
Jeff Sessions,0.15000000000000002
Evan Bayh,0.15000000000000002
Ben Nelson,0.15000000000000002
Michael G. Oxley,0.15000000000000002
Joe Barton,0.15000000000000002
Mike Pence,0.15000000000000002
Mike Ferguson,0.15000000000000002
Artur Davis,0.15000000000000002
Marilyn N. Musgrave,0.15000000000000002
William J. Jefferson,0.15000000000000002
Dan Boren,0.15000000000000002
Tim Holden,0.15000000000000002
Michael T. McCaul,0.15000000000000002
Patrick J. Tiberi,0.15000000000000002
Joe Knollenberg,0.15000000000000002
John Kline,0.15000000000000002
John M. McHugh,0.15000000000000002
Chaka Fattah,0.15000000000000002
Harry E. Mitchell,0.15000000000000002
Ed Perlmutter,0.15000000000000002
Michael R. McNulty,0.15000000000000002
Roy Blunt,0.15000000000000002
Jo Bonner,0.15000000000000002
Mike McIntyre,0.15000000000000002
Thelma D. Drake,0.15000000000000002
Henry Cuellar,0.15000000000000002
Tom Cole,0.15000000000000002
Grace F. Napolitano,0.15000000000000002
Charles W. Dent,0.15000000000000002
Jon C. Porter,0.15000000000000002
Tim Mahoney,0.15000000000000002
Deborah Pryce,0.15000000000000002
Cathy McMorris Rodgers,0.15000000000000002
Connie Mack,0.15000000000000002
Lynn A. Westmoreland,0.15000000000000002
Ken Calvert,0.15000000000000002
Brian P. Bilbray,0.15000000000000002
Peter Welch,0.15000000000000002
Eric Cantor,0.15000000000000002
Stephanie Herseth Sandlin,0.15000000000000002
Joe Sestak,0.15000000000000002
Russ Carnahan,0.15000000000000002
Rick Renzi,0.15000000000000002
David G. Reichert,0.15000000000000002
Tim Walberg,0.15000000000000002
Zach Wamp,0.15000000000000002
Barbara Cubin,0.15000000000000002
Ike Skelton,0.15000000000000002
Elton Gallegly,0.15000000000000002
Tom Latham,0.15000000000000002
Tom Feeney,0.15000000000000002
Devin Nunes,0.15000000000000002
Joe Baca,0.15000000000000002
Patrick T. McHenry,0.15000000000000002
Ben Chandler,0.15000000000000002
Randy Neugebauer,0.15000000000000002
Gabrielle Giffords,0.15000000000000002
Patrick J. Murphy,0.15000000000000002
John Sullivan,0.15000000000000002
Kendrick B. Meek,0.15000000000000002
Michael K. Simpson,0.15000000000000002
Darlene Hooley,0.15000000000000002
Bill Sali,0.15000000000000002
Marsha Blackburn,0.15000000000000002
Trent Franks,0.15000000000000002
"Henry C. ""Hank"" Johnson, Jr.",0.15000000000000002
Jim Gerlach,0.15000000000000002
Virginia Foxx,0.15000000000000002
Ron Lewis,0.15000000000000002
Dave Weldon,0.15000000000000002
Melissa L. Bean,0.15000000000000002
Scott Garrett,0.15000000000000002
Lee Terry,0.15000000000000002
Phil Gingrey,0.15000000000000002
Linda T. Sanchez,0.15000000000000002
Frank D. Lucas,0.15000000000000002
"Sanford D. Bishop, Jr.",0.15000000000000002
Charles A. Gonzalez,0.15000000000000002
Al Green,0.15000000000000002
James T. Walsh,0.15000000000000002
Paul D. Ryan,0.15000000000000002
Steven C. LaTourette,0.15000000000000002
John P. Sarbanes,0.15000000000000002
Lincoln Davis,0.15000000000000002
Rob Bishop,0.15000000000000002
Michele Bachmann,0.15000000000000002
Albert Russell Wynn,0.15000000000000002
Denny Rehberg,0.15000000000000002
Jim Cooper,0.15000000000000002
Vito Fossella,0.15000000000000002
Joe Courtney,0.15000000000000002
Bobby Jindal,0.15000000000000002
John T. Salazar,0.15000000000000002
Adrian Smith,0.15000000000000002
Charles B. Rangel,0.15000000000000002
Michael A. Arcuri,0.15000000000000002
George Radanovich,0.15000000000000002
Richard H. Baker,0.15000000000000002
Doc Hastings,0.15000000000000002
Phil Hare,0.15000000000000002
Mary Fallin,0.15000000000000002
Rahm Emanuel,0.15000000000000002
Michael H. Michaud,0.15000000000000002
Dean Heller,0.15000000000000002
Sam Farr,0.15000000000000002
Jeb Hensarling,0.15000000000000002
John Boozman,0.15000000000000002
Mario Diaz-Balart,0.15000000000000002
Brad Ellsworth,0.15000000000000002
Kenny Marchant,0.15000000000000002
Lucille Roybal-Allard,0.15000000000000002
Jim Jordan,0.15000000000000002
Allen Boyd,0.15000000000000002
John R. Carter,0.15000000000000002
Adam H. Putnam,0.15000000000000002
Todd Tiahrt,0.15000000000000002
John T. Doolittle,0.15000000000000002
Ciro D. Rodriguez,0.15000000000000002
Robin Hayes,0.15000000000000002
Bruce L. Braley,0.15000000000000002
Mark E. Souder,0.15000000000000002
C. A. Dutch Ruppersberger,0.15000000000000002
Steve Kagen,0.15000000000000002
Peter J. Roskam,0.15000000000000002
Zachary T. Space,0.15000000000000002
Mike Ross,0.15000000000000002
Michael C. Burgess,0.15000000000000002
Emanuel Cleaver,0.15000000000000002
Jim Marshall,0.15000000000000002
Howard Coble,0.15000000000000002
Kay Granger,0.15000000000000002
David Davis,0.15000000000000002
Daniel E. Lungren,0.15000000000000002
"John R. ""Randy"" Kuhl Jr.",0.15000000000000002
Robert A. Brady,0.15000000000000002
Mike Thompson,0.15000000000000002
John J. Hall,0.15000000000000002
Shelley Moore Capito,0.15000000000000002
Kevin McCarthy,0.15000000000000002
Baron P. Hill,0.15000000000000002
Jay Inslee,0.15000000000000002
Heath Shuler,0.15000000000000002
Jeff Fortenberry,0.15000000000000002
Jeff Miller,0.15000000000000002
Peter Hoekstra,0.15000000000000002
"Robert C. ""Bobby"" Scott",0.15000000000000002
Jason Altmire,0.15000000000000002
J. Dennis Hastert,0.15000000000000002
Thomas M. Reynolds,0.15000000000000002
Rodney P. Frelinghuysen,0.15000000000000002
C. W. Bill Young,0.15000000000000002
"Charles W. ""Chip"" Pickering",0.15000000000000002
Carol Shea-Porter,0.15000000000000002
Jerry Lewis,0.15000000000000002
Gary G. Miller,0.15000000000000002
Brendan F. Boyle,0.15000000000000002
John Edwards,0.15000000000000002
Lincoln Chafee,0.15000000000000002
