name,value
Dean Heller,0.15
Sam Farr,0.15
Jeb Hensarling,0.15
John Boozman,0.15
Mario Diaz-Balart,0.15
Peter T. King,0.15
Brad Ellsworth,0.15
Lamar Smith,0.15
Kenny Marchant,0.15
Lucille Roybal-Allard,0.15
Tom Price,0.15
Joe Donnelly,0.15
K. Michael Conaway,0.15
Jim Jordan,0.15
Kathy Castor,0.15
Allen Boyd,0.15
Brad Miller,0.15
John R. Carter,0.15
Ron Kind,0.15
Susan A. Davis,0.15
Adam H. Putnam,0.15
Todd Tiahrt,0.15
John T. Doolittle,0.15
Ciro D. Rodriguez,0.15
Robin Hayes,0.15
Timothy V. Johnson,0.15
Bruce L. Braley,0.15
Mark E. Souder,0.15
C. A. Dutch Ruppersberger,0.15
Steve Kagen,0.15
Peter J. Roskam,0.15
Zachary T. Space,0.15
Rick Larsen,0.15
Mike Ross,0.15
Michael C. Burgess,0.15
Emanuel Cleaver,0.15
Jim Marshall,0.15
Howard Coble,0.15
Kay Granger,0.15
David Davis,0.15
Daniel E. Lungren,0.15
John R. "Randy" Kuhl Jr.,0.15
Robert A. Brady,0.15
Mike Thompson,0.15
John J. Hall,0.15
Shelley Moore Capito,0.15
Michael R. Turner,0.15
Kevin McCarthy,0.15
Baron P. Hill,0.15
Jay Inslee,0.15
Heath Shuler,0.15
Jeff Fortenberry,0.15
John L. Mica,0.15
Jeff Miller,0.15
Peter Hoekstra,0.15
Adam Smith,0.15
Robert C. "Bobby" Scott,0.15
Jason Altmire,0.15
J. Dennis Hastert,0.15
David Loebsack,0.15
Thomas M. Reynolds,0.15
Rodney P. Frelinghuysen,0.15
C. W. Bill Young,0.15
Charles W. "Chip" Pickering,0.15
Carol Shea-Porter,0.15
Jerry Lewis,0.15
Gary G. Miller,0.15
Brendan F. Boyle,0.15
John Edwards,0.15
Lincoln Chafee,0.15
Jared Polis,0.15
Marcy Kaptur,0.15
James E. Clyburn,0.15
Jose E. Serrano,0.15
Alan B. Mollohan,0.15
Sonny Callahan,0.15
Robert E. (Bud) Cramer Jr.,0.15
Earl F. Hilliard,0.15
Bob Riley,0.15
Paul E. Kanjorski,0.15
Felix J. Grucci Jr.,0.15
Neil Abercrombie,0.15
George Miller,0.15
John W. Olver,0.15
Keith Ellison,0.15
Gregory W. Meeks,0.15
George V. Voinovich,0.15
Ernie Fletcher,0.15
William L. Jenkins,0.15
Martin T. Meehan,0.15
Darrell E. Issa,0.15
Bill Delahunt,0.15
Cedric L. Richmond,0.15
Marcia L. Fudge,0.15
Solomon P. Ortiz,0.15
Tim Ryan,0.15
Madeleine Z. Bordallo,0.15
John B. Larson,0.15
Tom Udall,0.15
Judy Biggert,0.15
Donald A. Manzullo,0.15
Gwen Moore,0.15
Melvin L. Watt,0.15
Maxine Waters,0.15
Peter A. DeFazio,0.15
Lloyd Doggett,0.15
Earl Blumenauer,0.15
Martin Frost,0.15
Thomas R. Carper,0.15
Mark L. Pryor,0.15
Brian D. Kerns,0.15
Doug Bereuter,0.15
J. C. Watts Jr.,0.15
Mac Collins,0.15
Wes Watkins,0.15
Edward L. Schrock,0.15
Tom Osborne,0.15
Christopher S. Bond,0.15
Mark Dayton,0.15
Conrad R. Burns,0.15
Jean Carnahan,0.15
Paul S. Sarbanes,0.15
Robert F. Bennett,0.15
Jack Reed,0.15
Jon Kyl,0.15
Strom Thurmond,0.15
Kay Bailey Hutchison,0.15
Jim Bunning,0.15
Phil Gramm,0.15
Herb Kohl,0.15
Don Nickles,0.15
James M. Inhofe,0.15
John B. Breaux,0.15
David E. Price,0.15
John F. Tierney,0.15
Eleanor Holmes Norton,0.15
James L. Oberstar,0.15
Richard E. Neal,0.15
Jerry F. Costello,0.15
Vic Snyder,0.15
Spencer Abraham,0.15
Paul Coverdell,0.15
Frank H. Murkowski,0.15
Ronnie Shows,0.15
Michael P. Forbes,0.15
Bob Stump,0.15
Tom Campbell,0.15
Matt Salmon,0.15
David M. McIntosh,0.15
Julian C. Dixon,0.15
Richard K. Armey,0.15
Anne M. Northup,0.15
Peter Deutsch,0.15
J. D. Hayworth,0.15
Jack Kingston,0.15
Jennifer Dunn,0.15
James H. Maloney,0.15
Robert A. Underwood,0.15
Martin Olav Sabo,0.15
John Edward Porter,0.15
Ken Lucas,0.15
George R. Nethercutt Jr.,0.15
Ron Klink,0.15
Tom Bliley,0.15
William F. Goodling,0.15
