Person_name,score
Marcia L. Fudge,0.15
Stephen F. Lynch,0.15
Scott Perry,0.15
Ruben Gallego,0.15
Darren Soto,0.15
Jim Cooper,0.15
Bradley Scott Schneider,0.15
Kurt Schrader,0.15
Vicente Gonzalez,0.15
Charlie Crist,0.15
Lisa Blunt Rochester,0.15
Dwight Evans,0.15
Tom O'Halleran,0.15
James P. McGovern,0.15
Debbie Dingell,0.15
"John, Jr. Conyers",0.15
"Frank, Jr. Pallone",0.15
Gwen Moore,0.15
Janice D. Schakowsky,0.15
Carolyn C. Kilpatrick,0.15
Diane E. Watson,0.15
Ellen O. Tauscher,0.15
Linda T. Sanchez,0.15
Tammy Baldwin,0.15
Sheila Jackson-Lee,0.15
Edolphus Towns,0.15
Melvin L. Watt,0.15
Major R. Owens,0.15
Doug Collins,0.15
Bob Inglis,0.15
Rick Boucher,0.15
Bill Foster,0.15
Richard J. Durbin,0.15
Barbara Boxer,0.15
Frank R. Lautenberg,0.15
Mark Begich,0.15
Daniel K. Akaka,0.15
Barbara A. Mikulski,0.15
Tim Johnson,0.15
Jon S. Corzine,0.15
Bill Nelson,0.15
Charles E. Schumer,0.15
Ted Cruz,0.15
John Boozman,0.15
David Perdue,0.15
Jeanne Shaheen,0.15
"Susan M. Collins,",0.15
"Mark R. Warner,",0.15
John Kennedy,0.15
Doug Jones,0.15
Catherine Cortez Masto,0.15
Tammy Duckworth,0.15
Catherine Cortez Mato,0.15
Claire McCaskill,0.15
Josh Hawley,0.15
Olympia J. Snowe,0.15
Evan Bayh,0.15
Angus S. King Jr.,0.15
Bill Cassidy,0.15
Jeff Merkley,0.15
Kay Bailey Hutchison,0.15
Rand Paul,0.15
Lisa Murkowski,0.15
Al Franken,0.15
Mark R.Warner,0.15
Thom Tillis,0.15
Pat Roberts,0.15
Robert P. Casey Jr.,0.15
Kay R. Hagan,0.15
Robert C. Byrd,0.15
", Robert P. Casey Jr.",0.15
James Lankford,0.15
"Orrin G. Hatch,",0.15
Angus S. King Jr,0.15
Jon Tester,0.15
Roy Blunt,0.15
Lindsey Graham,0.15
J. Robert Kerrey,0.15
Richard H. Bryan,0.15
Dale Bumpers,0.15
Christopher J. Dodd,0.15
Dan Sullivan,0.15
Saxby Chambliss,0.15
Chuck Grassley,0.15
Daniel Coats,0.15
Pat Toomey,0.15
Tom Coburn,0.15
Mike Johanns,0.15
Patty Murray,0.15
John Hoeven,0.15
Ken Salazar,0.15
William H. Frist,0.15
Mary L. Landrieu,0.15
Scott P. Brown,0.15
Christopher Murphy,0.15
